index      leisure_couadditional_price_doc  
          5          0          0    9100000
         11          0          2    4800000
         17          2          2    5900000
         23          0          3    5750000
         29          0          3    5900000
         35          0         16    4850000
         41          0          4    7500000
         47          0          4    4833000
         53          1          3    6000000
         59          0          3     990000
         65          0          0   10011000
         71          1          3    2630000
         77          1          8    4950000
         83          3          2     990000
        101          2          0    8600000
        107          0          2    1000000
        113          1          1    6350000
        119          0          3    5759000
        125          0          4    7950000
        131          0          0    4850000
        137          0          4    7450000
        143          0          3    1000000
        149          0          2    6200000
        155          0          2    6450000
        161          0          2    5250000
        167          0          4    3000000
        173          1          4    6000000
        179          1          0    5050000
        191          0          3    5500000
        197          1          1    7200000
        203          1          1   10600000
        209          0          4    2000000
        215          0          4    2825000
        221          0          0    6120000
        227          0          4    1030000
        233          0          2    1000000
        239          0          2    5400000
        245          0          1    5000000
        257          0          5    6200000
        263          1          4    5200000
        269          0          4    4700000
        275          0          2    2000000
        281          0          0    4700000
        287          2          2    5220000
        293          1          5    1115000
        299          0          2    5200000
        305          2          2    5850000
        311          4          5   10600000
        317          0          3    1000000
        323          0          2    6300000
        329          0          0    2000000
        335          0          4    7538000
        341          1          4    5300000
        347          0          4    5156678
        353          0          2    5500000
        359          0          3    1000000
        365          0          6    1000000
        371          0          4    8300000
        377          0          3   11500000
        383          0          1    4700000
        389          0          2    5900000
        395          0          2    5500000
        401          1          0    3900000
        407          0          2    5800000
        413          1          4    5300000
        419         13          3   10400000
        425          0          4    6000000
        431          0          1    6800000
        437          0          2   10500000
        443          0          0    6000000
        449          1          3    1000000
        455          1          3    5500000
        461          0          2    8500000
        467          0          0     990000
        473          1          1    6900000
        479          0          4    5700000
        485          0          3    5120000
        497          9          1   10600000
        503          0          2    2000000
        509          1          2   11000000
        515          0          2    9800000
        521          0          2    6700000
        527          0          3    1000000
        533          5          1    7175000
        539          0          2    4950000
        545          0          2    8800000
        551          0         16    5500000
        557          0          2    7800000
        563          1          3    7300000
        569          1          2    8400000
        575          1          4    1500000
        581          0          0    1000000
        587          0          8    4500000
        593          0          4    6000000
        599          1          4    6000000
        605          0         16   10250000
        611          1          0    5200000
        617          0          4    9500000
        623          4          1    9100000
        629          1          3    5400000
        635          0          2    4800000
        641          0          6    9100000
        647          0          6    2000000
        653          0          2    4700000
        659          0          2    1000000
        665          0          0   11500000
        671          1          8    5200000
        677          0          4    1050000
        683          0          2    6200000
        689          0          2    5450000
        695          0          4    9400000
        701          0          3    4000000
        707          1          8    6700000
        713          1          4    5600000
        719          1          1    1387500
        725          0          2    6800000
        731          0          2    9200000
        737          0          2    6100000
        743          0          1     500000
        749          0          0   10500000
        755          0          7    7900000
        761          0          0   11400000
        767          1          1    7000000
        773          0          6    8650000
        779          1          8    8000000
        785          1          4     990000
